,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
0,57,25,.695,—,117.9,111.4,6.38,2023,Boston Celtics*
1,54,28,.659,3.0,115.2,110.9,4.37,2023,Philadelphia 76ers*
2,47,35,.573,10.0,116.0,113.1,2.99,2023,New York Knicks*
3,45,37,.549,12.0,113.4,112.5,1.03,2023,Brooklyn Nets*
4,41,41,.500,16.0,112.9,111.4,1.59,2023,Toronto Raptors
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2023,Central Division
6,58,24,.707,—,116.9,113.3,3.61,2023,Milwaukee Bucks*
7,51,31,.622,7.0,112.3,106.9,5.23,2023,Cleveland Cavaliers*
8,40,42,.488,18.0,113.1,111.8,1.37,2023,Chicago Bulls
9,35,47,.427,23.0,116.3,119.5,-2.91,2023,Indiana Pacers
10,17,65,.207,41.0,110.3,118.5,-7.73,2023,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2023,Southeast Division
12,44,38,.537,—,109.5,109.8,-0.13,2023,Miami Heat*
13,41,41,.500,3.0,118.4,118.1,0.32,2023,Atlanta Hawks*
14,35,47,.427,9.0,113.2,114.4,-1.06,2023,Washington Wizards
15,34,48,.415,10.0,111.4,114.0,-2.39,2023,Orlando Magic
16,27,55,.329,17.0,111.0,117.2,-5.89,2023,Charlotte Hornets
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2023,Northwest Division
1,53,29,.646,—,115.8,112.5,3.04,2023,Denver Nuggets*
2,42,40,.512,11.0,115.8,115.8,-0.22,2023,Minnesota Timberwolves*
3,40,42,.488,13.0,117.5,116.4,0.96,2023,Oklahoma City Thunder
4,37,45,.451,16.0,117.1,118.0,-1.03,2023,Utah Jazz
5,33,49,.402,20.0,113.4,117.4,-3.96,2023,Portland Trail Blazers
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2023,Pacific Division
7,48,34,.585,—,120.7,118.1,2.30,2023,Sacramento Kings*
8,45,37,.549,3.0,113.6,111.6,2.08,2023,Phoenix Suns*
9,44,38,.537,4.0,113.6,113.1,0.31,2023,Los Angeles Clippers*
10,44,38,.537,4.0,118.9,117.1,1.66,2023,Golden State Warriors*
11,43,39,.524,5.0,117.2,116.6,0.43,2023,Los Angeles Lakers*
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2023,Southwest Division
13,51,31,.622,—,116.9,113.0,3.60,2023,Memphis Grizzlies*
14,42,40,.512,9.0,114.4,112.5,1.63,2023,New Orleans Pelicans
15,38,44,.463,13.0,114.2,114.1,-0.14,2023,Dallas Mavericks
16,22,60,.268,29.0,110.7,118.6,-7.62,2023,Houston Rockets
17,22,60,.268,29.0,113.0,123.1,-9.82,2023,San Antonio Spurs
0,64,18,.780,—,120.6,109.2,10.75,2024,Boston Celtics*
1,50,32,.610,14.0,112.8,108.2,4.36,2024,New York Knicks*
2,47,35,.573,17.0,114.6,111.5,2.51,2024,Philadelphia 76ers*
3,32,50,.390,32.0,110.4,113.3,-3.02,2024,Brooklyn Nets
4,25,57,.305,39.0,112.4,118.8,-6.45,2024,Toronto Raptors
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2024,Central Division
6,49,33,.598,—,119.0,116.4,2.44,2024,Milwaukee Bucks*
7,48,34,.585,1.0,112.6,110.2,1.98,2024,Cleveland Cavaliers*
8,47,35,.573,2.0,123.3,120.2,2.75,2024,Indiana Pacers*
9,39,43,.476,10.0,112.3,113.7,-1.77,2024,Chicago Bulls
10,14,68,.171,35.0,109.9,119.0,-9.06,2024,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2024,Southeast Division
12,47,35,.573,—,110.5,108.4,1.48,2024,Orlando Magic*
13,46,36,.561,1.0,110.1,108.4,1.10,2024,Miami Heat*
14,36,46,.439,11.0,118.3,120.5,-2.38,2024,Atlanta Hawks
15,21,61,.256,26.0,106.6,116.8,-10.12,2024,Charlotte Hornets
16,15,67,.183,32.0,113.7,123.0,-9.29,2024,Washington Wizards
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2024,Northwest Division
1,57,25,.695,—,120.1,112.7,7.36,2024,Oklahoma City Thunder*
2,57,25,.695,—,114.9,109.6,5.23,2024,Denver Nuggets*
3,56,26,.683,1.0,113.0,106.5,6.39,2024,Minnesota Timberwolves*
4,31,51,.378,26.0,115.7,120.5,-4.22,2024,Utah Jazz
5,21,61,.256,36.0,106.4,115.4,-8.29,2024,Portland Trail Blazers
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2024,Pacific Division
7,51,31,.622,—,115.6,112.3,3.41,2024,Los Angeles Clippers*
8,49,33,.598,2.0,116.2,113.2,3.08,2024,Phoenix Suns*
9,47,35,.573,4.0,118.0,117.4,1.07,2024,Los Angeles Lakers*
10,46,36,.561,5.0,116.6,114.8,2.29,2024,Sacramento Kings
11,46,36,.561,5.0,117.8,115.2,2.77,2024,Golden State Warriors
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2024,Southwest Division
13,50,32,.610,—,117.9,115.6,2.30,2024,Dallas Mavericks*
14,49,33,.598,1.0,115.1,110.7,4.46,2024,New Orleans Pelicans*
15,41,41,.500,9.0,114.3,113.2,1.24,2024,Houston Rockets
16,27,55,.329,23.0,105.8,112.8,-6.57,2024,Memphis Grizzlies
17,22,60,.268,28.0,112.1,118.6,-5.80,2024,San Antonio Spurs
0,61,21,.744,—,116.3,107.2,8.28,2025,Boston Celtics (2)
1,51,31,.622,10.0,115.8,111.7,3.59,2025,New York Knicks (3)
2,30,52,.366,31.0,110.9,115.2,-4.40,2025,Toronto Raptors (11)
3,26,56,.317,35.0,105.1,112.2,-6.95,2025,Brooklyn Nets (12)
4,24,58,.293,37.0,109.6,115.8,-6.29,2025,Philadelphia 76ers (13)
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2025,Central Division
6,64,18,.780,—,121.9,112.4,8.81,2025,Cleveland Cavaliers (1)
7,50,32,.610,14.0,117.4,115.1,1.68,2025,Indiana Pacers (4)
8,48,34,.585,16.0,115.5,113.0,2.12,2025,Milwaukee Bucks (5)
9,44,38,.537,20.0,115.5,113.6,1.73,2025,Detroit Pistons (6)
10,39,43,.476,25.0,117.8,119.4,-1.83,2025,Chicago Bulls (9)
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2025,Southeast Division
12,41,41,.500,—,105.4,105.5,-0.70,2025,Orlando Magic (7)
13,40,42,.488,1.0,118.2,119.3,-1.41,2025,Atlanta Hawks (8)
14,37,45,.451,4.0,110.6,110.0,0.11,2025,Miami Heat (10)
15,19,63,.232,22.0,105.1,114.2,-9.10,2025,Charlotte Hornets (14)
16,18,64,.220,23.0,108.0,120.4,-12.14,2025,Washington Wizards (15)
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2025,Northwest Division
1,68,14,.829,—,120.5,107.6,12.70,2025,Oklahoma City Thunder (1)
2,50,32,.610,18.0,120.8,116.9,3.97,2025,Denver Nuggets (4)
3,49,33,.598,19.0,114.3,109.3,5.15,2025,Minnesota Timberwolves (6)
4,36,46,.439,32.0,110.9,113.9,-2.67,2025,Portland Trail Blazers (12)
5,17,65,.207,51.0,111.9,121.2,-8.51,2025,Utah Jazz (15)
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2025,Pacific Division
7,50,32,.610,—,113.4,112.2,1.45,2025,Los Angeles Lakers (3)
8,50,32,.610,—,112.9,108.2,4.84,2025,Los Angeles Clippers (5)
9,48,34,.585,2.0,113.8,110.5,3.56,2025,Golden State Warriors (7)
10,40,42,.488,10.0,115.7,115.3,0.58,2025,Sacramento Kings (9)
11,36,46,.439,14.0,113.6,116.6,-2.55,2025,Phoenix Suns (11)
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2025,Southwest Division
13,52,30,.634,—,114.3,109.8,4.97,2025,Houston Rockets (2)
14,48,34,.585,4.0,121.7,116.9,4.79,2025,Memphis Grizzlies (8)
15,39,43,.476,13.0,114.2,115.4,-0.74,2025,Dallas Mavericks (10)
16,34,48,.415,18.0,113.9,116.7,-2.45,2025,San Antonio Spurs (13)
17,21,61,.256,31.0,109.8,119.3,-8.59,2025,New Orleans Pelicans (14)
